,DUOL,Duolingo,0.00%,2.60%,-2.60%,,0.00%,2.07%,0.00%,Innovation,United States,0.00%,,,,,,,2.60%,,,,0.00%,,14.72899486,1735254,321.44,55.77800458,Consumer Discretionary
,FLG,Flagstar Financial,0.00%,2.23%,-2.23%,0.34%,0.00%,,0.00%,Lending,United States,0.00%,,,,,,,,2.23%,,,,0.00%,0.013919076,122283,0.07,0.000855981,Financials
10,BLD,Topbuild,3.08%,,3.08%,,0.00%,6.83%,0.21%,Infrastructure,United States,3.08%,,,,,,,,,,3.08%,,,12.08787392,397823,429.58,17.08968043,Consumer Discretionary
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,$$$$,Cash,1.00%,0.93%,-40.73%,,-9.46%,,7.47%,Cash,,59%,,14.16%,11.08%,16.00%,1.73%,18.19%,60.55%,18.65%,6.16%,21.54%,59.39%,12.92%,469.537466,,,11.96681392,
,,,,,,,,,,,,,,,,,,,,,,,,,8.216436531,,,3.608449803,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Index,Growth Strategy,,Before Rebalance,After Rebalance,Key Statistics,,,,,,,,,,,
,,,,,,,,,,,,United States,64.57%,59%,Real Estate,1.73%,6.16%,Avg. Market Cap ($ BLN),469.537466,,,,,,,,,,
,,,,,,,#REF!,,,,,Asia,14.35%,14.16%,Infrastructure,18.19%,21.54%,Median Market Cap ($ Usd Bln),8.216436531,,,,,,,,,,
,,,,,,,,,,,,Latin America,0.84%,11.08%,Innovation,60.55%,59.39%,Avg Daily Liquidity ($ Mln),11.96681392,,,,,,,,,,
,,,,,,,,,,,,Europe,11.24%,16.00%,Lending,18.65%,12.92%,Portfolio Yield,-9.46%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,United States,0.366,,,Real Estate,103.47%,,,,,,,,,,,,,
,,,,,,,,,,,Asia,14.16%,,,Infrastructure,36.38%,,,Real Estate,Infrastructure,,,,,Innovation,,,,
,,,,,,,,,,,Latin America,11.08%,,,Innovation,49083.72%,,,103.47%,36.38%,,,,,49083.72%,,,,
,,,,,,,,,,,Europe,9.23%,,,Lending,37.30%,,,482542,29.39,,,,,3.608449803,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,For input into model portfolio - 13 dec 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,o&e,Name,Target,,,,,,,,,,,,,,,,,,,,,,,,,
,85,*,Federal Agricultural Mortgage Corp,14.60%,,,,,,,,,,,,,,,,,,,,,,,,,
,32,*,Armada Hoffler Properties Inc,5.50%,,,,,,,,,,,,,,,,,,,,,,,,,
,35,,Alexandria Real Estate Equities Inc,6.01%,,,,,,,,,,,,,,,,,,,,,,,,,
,35,,ASML,6.01%,,,,,,,,,,,,,,,,,,,,,,,,,
,43,,TopBuild Corp,7.39%,,,,,,,,,,,,,,,,,,,,,,,,,
,21,*,Badger Meter,3.61%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cash,1.00%,,,,,,,,,,,,,,,,,,,,,,,,,
,35,*,Copart Inc,6.01%,,,,,,,,,,,,,,,,,,,,,,,,,
,20,*,Crocs Inc,3.44%,,,,,,,,,,,,,,,,,,,,,,,,,
,10,*,Cintas Corp,1.72%,,,,,,,,,,,,,,,,,,,,,,,,,
,37,*,Duolingo,6.36%,,,,,,,,,,,,,,,,,,,,,,,,,
,25,*,e.l.f. Beauty Inc,4.30%,,,,,,,,,,,,,,,,,,,,,,,,,
,25,*,Enphase Energy Inc,4.30%,,,,,,,,,,,,,,,,,,,,,,,,,
,33,*,HDFC Bank Ltd,5.67%,,,,,,,,,,,,,,,,,,,,,,,,,
,15,,MercadoLibre,2.58%,,,,,,,,,,,,,,,,,,,,,,,,,
,30,,Nintendo Co Ltd,5.15%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Progress Software,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,
,35,*,Quanta Services Inc,6.01%,,,,,,,,,,,,,,,,,,,,,,,,,
,20,,Vinci SA,3.44%,,,,,,,,,,,,,,,,,,,,,,,,,
,46,*,Welltower,7.90%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/6/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ANDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-1.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LMND,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DUOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-1.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ELF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PWR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VCISY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NTDOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AHH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MELI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASML,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
